Team,City,Stadium,Capacity,Latitude,Longitude
Arsenal ,London ,Emirates Stadium ,60361,51.555,-0.108611
Aston Villa ,Birmingham ,Villa Park ,42785,52.509167,-1.884722
Blackburn Rovers ,Blackburn ,Ewood Park ,31154,53.728611,-2.489167
Bolton Wanderers ,Bolton ,Reebok Stadium ,28100,53.580556,-2.535556
Chelsea ,London ,Stamford Bridge ,42449,51.481667,-0.191111
Everton ,Liverpool ,Goodison Park ,40157,53.438889,-2.966389
Fulham ,London ,Craven Cottage ,25700,51.475,-0.221667
Liverpool ,Liverpool ,Anfield ,45276,53.430819,-2.960828
Manchester City ,Manchester ,Etihad Stadium,47405,53.482989,-2.200292
Manchester United ,Stretford ,Old Trafford ,75811,53.463056,-2.291389
Newcastle United ,Newcastle upon Tyne ,Sports Direct Arena,52409,54.975556,-1.621667
Norwich City ,Norwich ,Carrow Road ,27010,52.622128,1.308653
Queens Park Rangers ,London ,Loftus Road ,18439,51.509167,-0.232222
Stoke City ,Stoke-on-Trent ,Britannia Stadium ,27740,52.988333,-2.175556
Sunderland ,Sunderland ,Stadium of Light ,48707,54.9144,-1.3882
Swansea City ,Swansea ,Liberty Stadium ,20520,51.6422,-3.9351
Tottenham Hotspur ,London ,White Hart Lane ,36230,51.603333,-0.065833
West Bromwich Albion ,West Bromwich ,The Hawthorns ,27877,52.509167,-1.963889
Wigan Athletic ,Wigan ,DW Stadium ,25133,53.547778,-2.653889
Wolverhampton Wanderers ,Wolverhampton ,Molineux Stadium ,27828,52.590278,-2.130278
Barnsley ,Barnsley ,Oakwell ,23009,53.552222,-1.4675
Birmingham City ,Birmingham ,St Andrew's Stadium ,30079,52.475703,-1.868189
Blackpool ,Blackpool ,Bloomfield Road ,16220,53.804722,-3.048056
Brighton & Hove Albion ,Brighton ,American Express Community Stadium ,22374,50.861822,-0.083278
Bristol City ,Bristol ,Ashton Gate ,21497,51.44,-2.620278
Burnley ,Burnley ,Turf Moor ,22546,53.789167,-2.230278
Cardiff City ,Cardiff ,Cardiff City Stadium ,26828,51.472778,-3.203056
Coventry City ,Coventry ,Ricoh Arena ,32609,52.448056,-1.495556
Crystal Palace ,London ,Selhurst Park ,26309,51.398333,-0.085556
Derby County ,Derby ,Pride Park Stadium ,33597,52.915,-1.447222
Doncaster Rovers ,Doncaster ,Keepmoat Stadium ,15231,53.509722,-1.113889
Hull City ,Kingston upon Hull ,KC Stadium ,25404,53.746111,-0.367778
Ipswich Town ,Ipswich ,Portman Road ,30311,52.055061,1.144831
Leeds United ,Leeds ,Elland Road ,39460,53.777778,-1.572222
Leicester City ,Leicester ,King Power Stadium ,32500,52.620278,-1.142222
Middlesbrough ,Middlesbrough ,Riverside Stadium ,34988,54.578333,-1.216944
Millwall ,London ,The Den ,20146,51.485953,-0.05095
Nottingham Forest ,Nottingham ,City Ground ,30576,52.94,-1.132778
Peterborough United ,Peterborough ,London Road Stadium ,15460,52.564697,-0.240406
Portsmouth ,Portsmouth ,Fratton Park ,20224,50.796389,-1.063889
Reading ,Reading ,Madejski Stadium ,24224,51.422222,-0.982778
Southampton ,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111
Watford ,Watford ,Vicarage Road ,23500,51.649836,-0.401486
West Ham United ,London ,Boleyn Ground ,35303,51.531944,0.039444
Livingston and Gretna ,Livingston,Almondvale Stadium ,10122,55.886167,-3.522872
Inverness C.T. ,Iverness,Caledonian Stadium ,7918,57.494722,-4.2175
Celtic ,Glasgow,Celtic Park ,60832,55.849711,-4.205589
Dundee ,Dundee,Dens Park ,12085,56.475264,-2.973194
Dunfermline Athletic ,Dunfermline,East End Park ,11380,56.075308,-3.441906
Hibernian ,Edinburgh,Easter Road ,20421,55.961667,-3.165556
Falkirk ,Falkirk,Falkirk Stadium ,9200,56.005136,-3.754269
Motherwell and Gretna ,Motherwell,Fir Park ,13742,55.779947,-3.980078
Partick Thistle ,Glasgow,Firhill Stadium ,10887,55.881556,-4.269639
Rangers ,Glasgow,Ibrox Stadium ,51082,55.853206,-4.309258
St. Johnstone ,Perth,McDiarmid Park ,10673,56.409686,-3.476928
Hamilton Academical ,Hamilton,New Douglas Park ,6078,55.782156,-4.058503
Aberdeen and Inverness C.T. ,Aberdeen,Pittodrie Stadium ,22199,57.159167,-2.088889
Kilmarnock ,Kilmarnock,Rugby Park ,18128,55.604225,-4.508122
St. Mirren ,Paisley,St. Mirren Park ,8016,55.850556,-4.443889
Dundee United ,Dundee,Tannadice Park ,14209,56.474703,-2.968961
Heart of Midlothian ,Edinburgh,Tynecastle Stadium ,17420,55.939167,-3.232222
Ross County,Dingvall,Victoria Park ,6310,57.595947,-4.418914
FC Augsburg ,Augsburg ,SGL arena ,30660,48.3225,10.882222
Bayer Leverkusen ,Leverkusen ,BayArena ,30210,51.038256,7.002206
Bayern Munich ,Munich ,Allianz Arena ,71000,48.218775,11.624753
Borussia Dortmund ,Dortmund ,Signal Iduna Park ,80645,51.492569,7.451842
Borussia Mönchengladbach ,Mönchengladbach ,Borussia-Park ,54010,51.174583,6.385464
Eintracht Braunschweig ,Braunschweig ,Eintracht-Stadion ,23325,52.29,10.521667
Eintracht Frankfurt ,Frankfurt ,Commerzbank-Arena ,51500,50.068572,8.645458
SC Freiburg ,Freiburg ,MAGE SOLAR Stadion ,24000,47.988889,7.893056
Hamburger SV ,Hamburg ,Imtech Arena ,57000,53.587158,9.898617
Hannover 96 ,Hanover ,HDI-Arena ,49000,52.360067,9.731197
Hertha BSC ,Berlin ,Olympiastadion ,74244,52.514722,13.239444
TSG 1899 Hoffenheim ,Sinsheim ,Rhein-Neckar Arena ,30150,49.239008,8.888281
1. FSV Mainz 05 ,Mainz ,Coface Arena ,34000,49.984167,8.224167
1. FC Nürnberg ,Nuremberg ,Grundig-Stadion ,50000,49.426111,11.125833
Schalke 04 ,Gelsenkirchen ,Veltins-Arena ,61673,51.554503,7.067589
